id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
330,The Sound of Silence,Disturbed,metal,melancholic,0.38,74,0.21,0.23,0.07
331,Duality,Slipknot,metal,intense,0.93,133,0.22,0.51,0.01
332,Psychosocial,Slipknot,metal,intense,0.95,158,0.14,0.46,0.01
333,Before I Forget,Slipknot,metal,intense,0.89,154,0.28,0.49,0.01
334,Bat Country,Avenged Sevenfold,metal,intense,0.89,174,0.32,0.56,0.01
335,Nightmare,Avenged Sevenfold,metal,intense,0.83,143,0.19,0.49,0.01
336,Breaking the Law,Judas Priest,metal,intense,0.85,140,0.42,0.62,0.01
337,You've Got Another Thing Coming,Judas Priest,metal,energetic,0.86,147,0.47,0.6,0.01
338,Iron Man,Black Sabbath,metal,intense,0.67,75,0.26,0.48,0.01
339,Paranoid,Black Sabbath,metal,intense,0.85,165,0.39,0.62,0.01
340,War Pigs,Black Sabbath,metal,intense,0.53,79,0.14,0.35,0.02
341,Holy Wars,Megadeth,metal,intense,0.89,185,0.19,0.51,0.0
342,Symphony of Destruction,Megadeth,metal,intense,0.84,127,0.29,0.55,0.01
343,The Trooper,Iron Maiden,metal,energetic,0.89,178,0.49,0.59,0.01
344,Run to the Hills,Iron Maiden,metal,energetic,0.91,196,0.55,0.61,0.0
345,Fear of the Dark,Iron Maiden,metal,moody,0.77,126,0.26,0.47,0.01
346,Blackbird,The Beatles,folk,introspective,0.17,94,0.56,0.37,0.99
347,Mrs. Robinson,Simon & Garfunkel,folk,nostalgic,0.6,152,0.73,0.58,0.57
348,The Boxer,Simon & Garfunkel,folk,nostalgic,0.37,86,0.51,0.42,0.83
349,Fire and Rain,James Taylor,folk,melancholic,0.22,96,0.37,0.35,0.98
350,You've Got a Friend,James Taylor,folk,nostalgic,0.39,78,0.8,0.36,0.92
351,Blowin' in the Wind,Bob Dylan,folk,introspective,0.26,93,0.43,0.41,0.97
352,The Times They Are a-Changin',Bob Dylan,folk,nostalgic,0.3,92,0.32,0.33,0.98
353,Knockin' on Heaven's Door,Bob Dylan,folk,melancholic,0.31,72,0.35,0.3,0.93
354,White Winter Hymnal,Fleet Foxes,folk,nostalgic,0.53,147,0.67,0.42,0.94
355,Helplessness Blues,Fleet Foxes,folk,introspective,0.34,76,0.56,0.37,0.97
356,Skinny Love,Bon Iver,folk,melancholic,0.31,97,0.22,0.37,0.97
357,Flume,Bon Iver,folk,introspective,0.17,92,0.37,0.26,0.99
358,Naked as We Came,Iron & Wine,folk,relaxed,0.12,84,0.68,0.26,0.99
359,Flightless Bird,Iron & Wine,folk,melancholic,0.11,78,0.42,0.26,0.99
360,Take Me Home Country Roads,John Denver,folk,nostalgic,0.54,76,0.85,0.5,0.87
361,Rocky Mountain High,John Denver,folk,nostalgic,0.42,78,0.77,0.4,0.91
362,Fast Car,Tracy Chapman,folk,nostalgic,0.55,103,0.43,0.55,0.72
363,Big Yellow Taxi,Joni Mitchell,folk,nostalgic,0.46,87,0.83,0.43,0.84
364,Both Sides Now,Joni Mitchell,folk,introspective,0.17,76,0.44,0.27,0.99
365,The House That Built Me,Miranda Lambert,folk,nostalgic,0.4,72,0.26,0.35,0.94
366,Wagon Wheel,Old Crow Medicine Show,folk,happy,0.69,152,0.86,0.62,0.63
367,Wild World,Cat Stevens,folk,melancholic,0.37,90,0.66,0.47,0.88
368,Father and Son,Cat Stevens,folk,nostalgic,0.26,81,0.49,0.32,0.96
369,The Night They Drove Old Dixie Down,The Band,folk,nostalgic,0.44,76,0.36,0.42,0.71
370,The Weight,The Band,folk,nostalgic,0.6,113,0.74,0.52,0.68
371,Suite: Judy Blue Eyes,Crosby Stills Nash,folk,nostalgic,0.5,140,0.64,0.46,0.76
372,Helplessly Hoping,Crosby Stills Nash,folk,melancholic,0.24,83,0.49,0.37,0.98
373,So What,Miles Davis,jazz,introspective,0.19,138,0.4,0.36,0.97
374,Kind of Blue (Blue in Green),Miles Davis,jazz,relaxed,0.09,64,0.37,0.24,0.99
375,Autumn Leaves,Miles Davis,jazz,nostalgic,0.18,76,0.33,0.28,0.98
376,A Love Supreme (Part I),John Coltrane,jazz,introspective,0.21,78,0.22,0.26,0.98
377,My Favorite Things,John Coltrane,jazz,happy,0.34,176,0.67,0.44,0.96
378,Take Five,Dave Brubeck Quartet,jazz,focused,0.26,176,0.52,0.42,0.97
379,Blue Rondo a la Turk,Dave Brubeck Quartet,jazz,energetic,0.64,264,0.55,0.52,0.96
380,Round Midnight,Thelonious Monk,jazz,melancholic,0.14,64,0.17,0.22,0.99
381,Straight No Chaser,Thelonious Monk,jazz,focused,0.35,148,0.48,0.46,0.97
382,Fly Me to the Moon,Frank Sinatra,jazz,romantic,0.29,144,0.83,0.46,0.95
383,The Way You Look Tonight,Frank Sinatra,jazz,romantic,0.25,126,0.8,0.36,0.97
384,My Way,Frank Sinatra,jazz,nostalgic,0.32,76,0.47,0.28,0.87
385,Misty,Erroll Garner,jazz,romantic,0.18,72,0.72,0.26,0.99
386,Summertime,Ella Fitzgerald & Louis Armstrong,jazz,relaxed,0.21,66,0.48,0.28,0.98
387,What a Wonderful World,Louis Armstrong,jazz,happy,0.18,88,0.83,0.29,0.99
388,When the Saints Go Marching In,Louis Armstrong,jazz,happy,0.66,176,0.95,0.72,0.82
389,Feeling Good,Nina Simone,jazz,nostalgic,0.32,72,0.4,0.3,0.84
390,I Put a Spell on You,Nina Simone,jazz,intense,0.46,116,0.36,0.47,0.73
391,Don't Know Why,Norah Jones,jazz,relaxed,0.24,86,0.67,0.45,0.93
392,Come Away with Me,Norah Jones,jazz,romantic,0.2,96,0.67,0.41,0.95
393,Girl from Ipanema,Stan Getz & Joao Gilberto,jazz,romantic,0.21,126,0.69,0.38,0.97
394,Corcovado,Antonio Carlos Jobim,jazz,relaxed,0.14,112,0.74,0.29,0.99
395,Desafinado,Antonio Carlos Jobim,jazz,relaxed,0.19,128,0.7,0.42,0.97
396,Night in Tunisia,Dizzy Gillespie,jazz,energetic,0.62,236,0.52,0.56,0.88
397,Salt Peanuts,Dizzy Gillespie,jazz,playful,0.7,300,0.7,0.62,0.9
398,Body and Soul,Coleman Hawkins,jazz,introspective,0.15,66,0.38,0.24,0.99
399,Sophisticated Lady,Duke Ellington,jazz,romantic,0.18,84,0.52,0.29,0.99
400,Take the A Train,Duke Ellington,jazz,energetic,0.58,200,0.76,0.64,0.89
401,Moonlight Serenade,Glenn Miller,jazz,romantic,0.2,72,0.76,0.3,0.99
402,In the Mood,Glenn Miller,jazz,happy,0.69,196,0.88,0.74,0.85
403,The Thrill Is Gone,B.B. King,blues,melancholic,0.38,66,0.21,0.38,0.56
404,Every Day I Have the Blues,B.B. King,blues,melancholic,0.55,120,0.33,0.56,0.47
405,Mannish Boy,Muddy Waters,blues,intense,0.68,82,0.39,0.64,0.35
406,Hoochie Coochie Man,Muddy Waters,blues,moody,0.66,82,0.35,0.6,0.38
407,I Can't Quit You Baby,Muddy Waters,blues,melancholic,0.52,76,0.24,0.49,0.56
408,Cross Road Blues,Robert Johnson,blues,melancholic,0.49,108,0.28,0.47,0.95
409,Sweet Home Chicago,Robert Johnson,blues,nostalgic,0.54,120,0.43,0.52,0.88
410,Pride and Joy,Stevie Ray Vaughan,blues,energetic,0.77,126,0.67,0.66,0.32
411,Texas Flood,Stevie Ray Vaughan,blues,melancholic,0.48,64,0.21,0.4,0.4
412,Couldn't Stand the Weather,Stevie Ray Vaughan,blues,intense,0.79,138,0.38,0.6,0.22
413,Shake Your Moneymaker,Fleetwood Mac,blues,energetic,0.72,119,0.64,0.62,0.42
414,Oh Well,Fleetwood Mac,blues,intense,0.74,143,0.44,0.55,0.26
415,Red House,Jimi Hendrix,blues,melancholic,0.47,70,0.3,0.45,0.48
416,Voodoo Child,Jimi Hendrix,blues,intense,0.85,100,0.39,0.57,0.16
417,Born Under a Bad Sign,Albert King,blues,melancholic,0.56,96,0.26,0.55,0.47
418,Crossroads,Cream,blues,intense,0.84,128,0.44,0.66,0.1
419,White Room,Cream,blues,moody,0.62,87,0.24,0.47,0.21
420,Stormy Monday,T-Bone Walker,blues,melancholic,0.41,78,0.22,0.42,0.62
421,Call It Stormy Monday,The Allman Brothers Band,blues,melancholic,0.39,66,0.23,0.38,0.67
422,Whipping Post,The Allman Brothers Band,blues,intense,0.7,153,0.21,0.53,0.24
423,Further On Up the Road,Bobby Blue Bland,blues,energetic,0.62,126,0.51,0.6,0.44
424,Turn on Your Love Light,Bobby Blue Bland,blues,playful,0.69,128,0.77,0.68,0.38
425,Got My Mojo Working,Muddy Waters,blues,energetic,0.72,136,0.72,0.7,0.38
426,Kansas City,Little Willie Littlefield,blues,happy,0.76,138,0.82,0.74,0.48
427,Messin' with the Kid,Junior Wells,blues,playful,0.65,124,0.6,0.65,0.42
428,Bright Lights Big City,Jimmy Reed,blues,nostalgic,0.47,97,0.53,0.54,0.76
429,Big Boss Man,Jimmy Reed,blues,melancholic,0.44,97,0.44,0.52,0.78
430,Rock Me Baby,B.B. King,blues,playful,0.65,126,0.72,0.68,0.46
431,Hound Dog,Big Mama Thornton,blues,energetic,0.79,136,0.72,0.7,0.22
432,Ball and Chain,Big Mama Thornton,blues,intense,0.6,72,0.22,0.48,0.54
433,Moonlight Sonata,Ludwig van Beethoven,classical,introspective,0.1,56,0.16,0.11,0.99
434,Fur Elise,Ludwig van Beethoven,classical,relaxed,0.14,108,0.51,0.14,0.99
435,Symphony No. 5 (1st Mvt),Ludwig van Beethoven,classical,intense,0.48,108,0.2,0.23,0.99
436,Symphony No. 9 (Ode to Joy),Ludwig van Beethoven,classical,happy,0.61,72,0.87,0.25,0.99
437,Clair de Lune,Claude Debussy,classical,introspective,0.08,52,0.42,0.1,0.99
438,La Mer,Claude Debussy,classical,relaxed,0.18,68,0.54,0.14,0.99
439,Gymnopedies No. 1,Erik Satie,classical,introspective,0.07,76,0.32,0.1,0.99
440,Gnossienne No. 1,Erik Satie,classical,melancholic,0.09,72,0.22,0.09,0.99
441,Canon in D,Johann Pachelbel,classical,romantic,0.14,100,0.76,0.12,0.99
442,The Four Seasons (Spring),Antonio Vivaldi,classical,happy,0.48,128,0.8,0.22,0.99
443,The Four Seasons (Winter),Antonio Vivaldi,classical,intense,0.42,132,0.24,0.2,0.99
444,Toccata and Fugue in D Minor,Johann Sebastian Bach,classical,intense,0.42,78,0.18,0.2,0.99
445,Air on the G String,Johann Sebastian Bach,classical,relaxed,0.08,62,0.58,0.1,0.99
446,Cello Suite No. 1 Prelude,Johann Sebastian Bach,classical,introspective,0.18,112,0.52,0.16,0.99
447,Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,classical,happy,0.52,136,0.88,0.32,0.99
448,Symphony No. 40,Wolfgang Amadeus Mozart,classical,melancholic,0.36,132,0.32,0.22,0.99
449,Piano Concerto No. 21,Wolfgang Amadeus Mozart,classical,romantic,0.18,72,0.72,0.14,0.99
450,Nocturne Op. 9 No. 2,Frederic Chopin,classical,romantic,0.1,60,0.6,0.1,0.99
451,Ballade No. 1,Frederic Chopin,classical,introspective,0.28,72,0.3,0.14,0.99
452,Waltz in A Minor,Frederic Chopin,classical,melancholic,0.16,132,0.38,0.12,0.99
453,Rhapsody in Blue,George Gershwin,classical,energetic,0.44,76,0.62,0.28,0.98
454,An American in Paris,George Gershwin,classical,happy,0.41,120,0.71,0.26,0.98
455,The Nutcracker Suite,Pyotr Ilyich Tchaikovsky,classical,happy,0.44,148,0.72,0.3,0.99
456,Swan Lake Theme,Pyotr Ilyich Tchaikovsky,classical,melancholic,0.16,60,0.22,0.12,0.99
457,1812 Overture,Pyotr Ilyich Tchaikovsky,classical,intense,0.58,104,0.44,0.24,0.97
458,Bolero,Maurice Ravel,classical,focused,0.32,66,0.52,0.18,0.99
459,Ride of the Valkyries,Richard Wagner,classical,intense,0.62,120,0.32,0.3,0.96
460,Adagio for Strings,Samuel Barber,classical,melancholic,0.11,46,0.12,0.09,0.99
461,Cello Concerto in E Minor,Edward Elgar,classical,melancholic,0.18,56,0.24,0.12,0.99
462,Music for Airports 1/1,Brian Eno,ambient,introspective,0.08,60,0.46,0.1,0.99
463,Music for Airports 2/1,Brian Eno,ambient,relaxed,0.06,60,0.52,0.09,0.99
464,Discreet Music,Brian Eno,ambient,relaxed,0.07,58,0.55,0.08,0.99
465,An Ending (Ascent),Brian Eno,ambient,introspective,0.09,64,0.44,0.1,0.99
466,Svefn-g-englar,Sigur Ros,ambient,introspective,0.13,60,0.38,0.12,0.98
467,Hoppipolla,Sigur Ros,ambient,happy,0.28,72,0.72,0.22,0.94
468,Ara Batur,Sigur Ros,ambient,melancholic,0.22,60,0.28,0.14,0.96
469,Selected Ambient Works Vol II - Track 3,Aphex Twin,ambient,introspective,0.1,72,0.36,0.11,0.97
470,Rhubarb,Aphex Twin,ambient,melancholic,0.08,58,0.28,0.09,0.98
471,Aisatsana,Aphex Twin,ambient,relaxed,0.07,64,0.56,0.09,0.99
472,Everything in Its Right Place,Radiohead,ambient,introspective,0.22,136,0.34,0.28,0.09
473,How to Disappear Completely,Radiohead,ambient,melancholic,0.16,56,0.12,0.16,0.74
474,Exit Music (For a Film),Radiohead,ambient,melancholic,0.22,76,0.1,0.24,0.82
475,Holocene,Bon Iver,ambient,introspective,0.19,74,0.26,0.24,0.86
476,Beth/Rest,Bon Iver,ambient,nostalgic,0.22,76,0.38,0.22,0.56
477,Stars of the Lid - Requiem for Dying Mothers,Stars of the Lid,ambient,melancholic,0.11,48,0.22,0.09,0.99
478,Explosions in the Sky - The Birth and Death of the Day,Explosions in the Sky,ambient,nostalgic,0.34,80,0.44,0.22,0.76
479,First Breath After Coma,Explosions in the Sky,ambient,melancholic,0.28,72,0.36,0.18,0.84
480,Godspeed You! Black Emperor - East Hastings,Godspeed You Black Emperor,ambient,intense,0.32,58,0.14,0.16,0.78
481,Max Richter - On the Nature of Daylight,Max Richter,ambient,melancholic,0.12,52,0.26,0.1,0.99
482,Sleep - Dream 3,Max Richter,ambient,relaxed,0.06,52,0.52,0.08,0.99
483,Olafur Arnalds - Near Light,Olafur Arnalds,ambient,introspective,0.14,76,0.38,0.12,0.92
484,Near Light,Olafur Arnalds,ambient,introspective,0.14,76,0.38,0.12,0.92
485,Re:member,Olafur Arnalds,ambient,nostalgic,0.18,80,0.44,0.14,0.88
486,Float,Moby,ambient,relaxed,0.12,78,0.56,0.14,0.94
487,Snowfall,Øneheart & reidenshi,lofi,chill,0.26,76,0.4,0.46,0.82
488,nostalgia,jinsang,lofi,chill,0.25,82,0.52,0.5,0.88
489,alone time,jinsang,lofi,introspective,0.22,78,0.38,0.44,0.86
490,calm,jinsang,lofi,relaxed,0.2,74,0.48,0.42,0.9
491,nomura,Idealism,lofi,chill,0.24,80,0.54,0.48,0.85
492,Beautiful Memories,Idealism,lofi,nostalgic,0.23,78,0.58,0.46,0.87
493,Neon Jungle,j'san,lofi,chill,0.27,84,0.52,0.54,0.8
494,Lost in Thoughts,j'san,lofi,introspective,0.21,72,0.44,0.42,0.88
495,afternoon light,Philanthrope,lofi,relaxed,0.26,80,0.6,0.5,0.84
496,together,Philanthrope,lofi,happy,0.3,86,0.66,0.54,0.82
497,Sunday afternoon,Cxntrast,lofi,relaxed,0.24,76,0.58,0.48,0.86
498,coffee trip,Glimlip,lofi,chill,0.25,80,0.52,0.5,0.87
499,gentle rain,Idealism,lofi,chill,0.19,72,0.5,0.4,0.92
500,beneath the trees,WYS,lofi,introspective,0.22,78,0.42,0.44,0.9
501,Study Session,Kupla,lofi,focused,0.28,88,0.56,0.52,0.84
502,Rainy Days,Kupla,lofi,chill,0.24,76,0.48,0.46,0.88
503,Golden Hour,Witt Lowry,lofi,nostalgic,0.34,94,0.64,0.56,0.72
504,Piece of Mind,Witt Lowry,lofi,relaxed,0.3,86,0.58,0.52,0.78
505,Night Owl,Tennyson,lofi,chill,0.32,90,0.54,0.56,0.74
506,Lay It On Me,Tennyson,lofi,chill,0.34,94,0.6,0.58,0.7
507,Chillhop Essentials - Autumn,Various Artists,lofi,chill,0.26,80,0.52,0.48,0.86
508,Tokyo Cafe,Various Artists,lofi,relaxed,0.24,78,0.56,0.46,0.88
509,Sleepy Fish - in your arms,Sleepy Fish,lofi,chill,0.2,72,0.48,0.4,0.92
510,Pandrezz - Lost in Thought,Pandrezz,lofi,introspective,0.23,76,0.42,0.44,0.9
511,Nightcall,Kavinsky,synthwave,moody,0.71,104,0.33,0.76,0.01
512,Protovision,Kavinsky,synthwave,moody,0.75,112,0.38,0.8,0.0
513,Odd Look,Kavinsky & The Weeknd,synthwave,moody,0.65,108,0.35,0.74,0.01
514,Endless Summer,The Midnight,synthwave,nostalgic,0.68,108,0.62,0.74,0.02
515,Los Angeles,The Midnight,synthwave,nostalgic,0.62,102,0.54,0.7,0.04
516,Sunset,The Midnight,synthwave,nostalgic,0.64,106,0.56,0.72,0.03
517,America Online,The Midnight,synthwave,nostalgic,0.66,110,0.58,0.74,0.02
518,Running in the Night,FM-84,synthwave,nostalgic,0.7,116,0.64,0.76,0.02
519,Atlas,FM-84,synthwave,nostalgic,0.66,114,0.58,0.74,0.03
520,Turbo Killer,Carpenter Brut,synthwave,intense,0.91,140,0.28,0.68,0.0
521,Looking for Tracy Tzu,Carpenter Brut,synthwave,moody,0.84,132,0.3,0.66,0.0
522,B-sides,Perturbator,synthwave,intense,0.88,136,0.24,0.66,0.0
523,Disco Inferno,Perturbator,synthwave,moody,0.8,128,0.32,0.74,0.0
524,Disco Zombies,Perturbator,synthwave,moody,0.82,130,0.3,0.72,0.0
525,We Have a Hulk,Gunship,synthwave,moody,0.74,116,0.44,0.72,0.04
526,Tech Noir,Gunship,synthwave,nostalgic,0.7,112,0.4,0.7,0.05
527,Fly for Your Life,Gunship,synthwave,energetic,0.78,120,0.48,0.76,0.02
528,Hydrogen,M|O|O|N,synthwave,moody,0.67,110,0.28,0.66,0.02
529,Dust,M|O|O|N,synthwave,moody,0.62,100,0.3,0.62,0.04
530,Flash,Queen,synthwave,energetic,0.8,138,0.68,0.72,0.01
531,99 Luftballons,Nena,synthwave,moody,0.77,132,0.58,0.74,0.02
532,Take On Me (Synthwave Cover),a-ha,synthwave,nostalgic,0.75,130,0.72,0.7,0.02
533,Drive,The Cars,synthwave,nostalgic,0.46,110,0.52,0.54,0.28
534,In the Air Tonight,Phil Collins,synthwave,moody,0.45,102,0.28,0.44,0.22
535,Don't You Forget About Me,Simple Minds,synthwave,nostalgic,0.76,136,0.62,0.68,0.04
536,Amor Eterno,Rocio Durcal,latin,melancholic,0.32,72,0.18,0.34,0.82
537,El Triste,Jose Jose,latin,melancholic,0.28,68,0.14,0.26,0.88
538,Historia de un Amor,Luis Miguel,latin,melancholic,0.34,76,0.2,0.3,0.84
539,La Llorona,Chavela Vargas,latin,melancholic,0.24,72,0.18,0.26,0.94
540,Cucurrucucu Paloma,Lola Beltran,latin,melancholic,0.22,64,0.22,0.24,0.96
541,Lagrimas Negras,Buena Vista Social Club,latin,melancholic,0.3,92,0.32,0.42,0.86
542,Chan Chan,Buena Vista Social Club,latin,introspective,0.26,88,0.4,0.44,0.9
543,Dos Gardenias,Buena Vista Social Club,latin,romantic,0.24,76,0.62,0.36,0.91
544,Vivir Sin Aire,Mana,latin,melancholic,0.44,80,0.22,0.38,0.48
545,Inevitable,Shakira,latin,melancholic,0.34,76,0.24,0.36,0.76
546,Por Tu Amor,Marc Anthony,latin,melancholic,0.5,88,0.26,0.48,0.52
547,Sabor a Mi,Eydie Gorme,latin,romantic,0.2,78,0.66,0.3,0.93
548,Besame Mucho,Trio Los Panchos,latin,romantic,0.22,80,0.68,0.32,0.94
549,Gracias a la Vida,Violeta Parra,latin,introspective,0.18,88,0.44,0.36,0.97
550,Quizas Quizas Quizas,Nat King Cole,latin,romantic,0.28,100,0.72,0.48,0.88
551,Quiero,Camila,latin,melancholic,0.36,72,0.2,0.38,0.72
552,Sin Ti,Camila,latin,melancholic,0.38,76,0.18,0.36,0.7
553,Tal Vez,Ricky Martin,latin,melancholic,0.4,82,0.26,0.4,0.64
554,No Me Doy Por Vencido,Luis Fonsi,latin,melancholic,0.46,84,0.28,0.44,0.58
555,Suena,Luis Fonsi,latin,nostalgic,0.42,86,0.42,0.46,0.62
556,Perfidia,Xavier Cugat,latin,melancholic,0.32,96,0.36,0.42,0.82
557,Cielito Lindo,Mariachi Vargas,latin,nostalgic,0.44,120,0.8,0.52,0.86
558,Veinte Anos,Compay Segundo,latin,nostalgic,0.26,84,0.46,0.36,0.92
559,La Malagena,Trio Calaveras,latin,melancholic,0.24,76,0.24,0.28,0.95
